-0.001,0.999979978818704,4.01646932523689e-10,2.00207796492318e-05,2.00207796492435e-05,0.999959958039055,1.00099991991768
-0.000986265846131283,0.999979700277439,4.12889109259945e-10,2.02993096723664e-05,2.02993096724002e-05,0.999959400967766,1.00098618576488
-0.000972720319245054,0.999979417856905,4.24446283877598e-10,2.05817186485321e-05,2.05817186486046e-05,0.999958836138257,1.00097264023904
-0.000959360828709315,0.99997913150307,4.36327287240141e-10,2.08680606023961e-05,2.08680606023082e-05,0.999958263442468,1.00095928074954
-0.000946184819472199,0.999978841161148,4.48541197860669e-10,2.11583903111843e-05,2.11583903112489e-05,0.999957682770836,1.00094610474133
-0.000933189771573324,0.999978546775588,4.61097348848454e-10,2.14527633151675e-05,2.14527633151107e-05,0.999957094012272,1.00093310969443
-0.000920373199661823,0.999978248290066,4.74005335050453e-10,2.17512359282944e-05,2.17512359282912e-05,0.999956497054138,1.00092029312351
-0.000907732652521022,0.999977945647476,4.87275020393156e-10,2.20538652489726e-05,2.20538652490054e-05,0.999955891782227,1.00090765257735
-0.00089526571259964,0.999977638789913,5.00916545430422e-10,2.23607091709997e-05,2.23607091709432e-05,0.999955278080741,1.00089518563839
-0.000882969995549408,0.999977327658665,5.14940335103111e-10,2.2671826394647e-05,2.26718263947046e-05,0.99995465583227,1.00088288992229
-0.000870843149769072,0.999977012194205,5.29357106716391e-10,2.29872764378982e-05,2.29872764379024e-05,0.999954024917767,1.00087076307744
-0.000858882855954626,0.999976692336174,5.44177878140903e-10,2.33071196478441e-05,2.33071196478196e-05,0.999953385216526,1.00085880278454
-0.00084708682665574,0.999976368023374,5.59413976244009e-10,2.36314172122367e-05,2.36314172121777e-05,0.999952736606162,1.00084700675615
-0.000835452805838287,0.999976039193752,5.75077045557599e-10,2.39602311712041e-05,2.39602311711273e-05,0.999952078962581,1.00083537273623
-0.000823978568452851,0.999975705784392,5.9117905718913e-10,2.42936244291289e-05,2.42936244291281e-05,0.999951412159963,1.00082389849972
-0.000812661920009195,0.999975367731501,6.07732317982647e-10,2.46316607666926e-05,2.46316607667163e-05,0.999950736070734,1.00081258185214
-0.000801500696156541,0.999975024970397,6.24749479936899e-10,2.49744048530874e-05,2.49744048531619e-05,0.999950050565544,1.00080142062914
-0.000790492762269642,0.999974677435498,6.42243549887676e-10,2.53219222583988e-05,2.53219222584589e-05,0.99994935551324,1.0007904126961
-0.000779636013040524,0.999974325060306,6.60227899461832e-10,2.56742794661601e-05,2.56742794660925e-05,0.99994865078084,1.0007795559477
-0.000768928372075831,0.999973967777398,6.78716275310634e-10,2.60315438860834e-05,2.60315438861403e-05,0.999947936233512,1.00076884830755
-0.000758367791499719,0.99997360551841,6.97722809630212e-10,2.63937838669667e-05,2.63937838670403e-05,0.999947211734543,1.00075828772777
-0.000747952251562183,0.999973238214028,7.17262030977249e-10,2.67610687097822e-05,2.67610687098019e-05,0.999946477145318,1.00074787218863
-0.000737679760252773,0.99997286579397,7.37348875388136e-10,2.7133468680946e-05,2.71334686808844e-05,0.999945732325289,1.00073759969809
-0.000727548352919623,0.999972488186975,7.57998697810126e-10,2.75110550257742e-05,2.75110550258528e-05,0.99994497713195,1.00072746829153
-0.000717556091893692,0.999972105320791,7.79227283853288e-10,2.78938999821254e-05,2.78938999821454e-05,0.999944211420808,1.00071747603126
-0.000707701066118189,0.999971717122155,8.01050861872175e-10,2.82820767942345e-05,2.82820767941727e-05,0.999943435045361,1.00070762100622
-0.000697981390783067,0.999971323516787,8.23486115386568e-10,2.8675659726739e-05,2.86756597266402e-05,0.99994264785706,1.00069790133162
-0.00068839520696455,0.999970924429371,8.46550195850733e-10,2.90747240789013e-05,2.90747240789813e-05,0.999941849705292,1.00068831514852
-0.000678940681269611,0.99997051978354,8.70260735780986e-10,2.94793461990284e-05,2.94793461990128e-05,0.999941040437341,1.00067886062354
-0.000669616005485322,0.999970109501865,8.94635862251697e-10,2.98896034990946e-05,2.98896034991447e-05,0.999940219898366,1.00066953594845
-0.000660419396233031,0.999969693505836,9.19694210769947e-10,3.03055744695659e-05,3.03055744695913e-05,0.999939387931367,1.00066033933989
-0.000651349094627281,0.999969271715851,9.45454939539605e-10,3.07273386944338e-05,3.07273386943585e-05,0.999938544377156,1.00065126903896
-0.000642403365939419,0.999968844051196,9.71937744125654e-10,3.11549768664563e-05,3.11549768664543e-05,0.999937689074329,1.00064232331094
-0.000633580499265825,0.999968410430035,9.99162872530032e-10,3.15885708026134e-05,3.15885708025432e-05,0.999936821859232,1.00063350044492
-0.000624878807200689,0.999967970769389,1.0271511406906e-09,3.20282034597773e-05,3.20282034597108e-05,0.999935942565929,1.0006247987535
-0.000616296625513294,0.999967524985125,1.05592394841498e-09,3.24739589506015e-05,3.2473958950674e-05,0.999935051026175,1.00061621657245
-0.000607832312829724,0.999967072991937,1.08550329576168e-09,3.29259225596319e-05,3.29259225596568e-05,0.999934147069377,1.00060775226039
-0.000599484250318941,0.999966614703328,1.11591179988078e-09,3.3384180759642e-05,3.33841807597102e-05,0.999933230522569,1.00059940419849
-0.000591250841383188,0.999966150031599,1.14717271232737e-09,3.38488212281966e-05,3.38488212282551e-05,0.999932301210371,1.00059117079016
-0.000583130511352622,0.999965678887826,1.17930993686087e-09,3.43199328644468e-05,3.43199328644017e-05,0.999931358954961,1.00058305046072
-0.000575121707184161,0.999965201181846,1.21234804774376e-09,3.47976058061585e-05,3.47976058061583e-05,0.99993040357604,1.00057504165714
